Amp.Batch.ID	Seq.Batch.ID	Batch.Set.ID	Description	tissue	date	treatment	sorting.scheme	mouse	dilution	timepoint	replicate	notes	sorting.batch	sorting.plate	empty.wells
AB6032	SB304	CD4_Co-culture_doublets	CD4_Co-culture_doublets_1	in vitro	20181111	OVA + LPS	doublets			20h	NA	NA	NA	NA	NA
AB6033	SB304	CD4_Co-culture_doublets	CD4_Co-culture_doublets_2	in vitro	20181111	OVA + LPS	doublets			20h	NA	NA	NA	NA	NA
AB6034	SB304	CD4_Co-culture_T_only	CD4_Co-culture_T_only	in vitro	20181111	OVA + LPS	Trbc+			20h	NA	NA	NA	NA	NA
AB6035	SB304	CD4_Co-culture_DC_only	CD4_Co-culture_DC_only_1	in vitro	20181111	OVA + LPS	Cd11c+			20h	NA	NA	NA	NA	NA
AB6036	SB304	CD4_Co-culture_DC_only	CD4_Co-culture_DC_only_2	in vitro	20181111	OVA + LPS	Cd11c+			20h	NA	NA	NA	NA	NA
AB6037	SB304	DC_mono-culture_DC_only	DC_mono-culture_DC_only_1	in vitro	20181111	OVA + LPS DC only	Cd11c+			20h	NA	NA	NA	NA	NA
AB6038	SB304	DC_mono-culture_DC_only	DC_mono-culture_DC_only_2	in vitro	20181111	OVA + LPS DC only	Cd11c+			20h	NA	NA	NA	NA	NA
AB6039	SB304	T_mono-culture_T_only	T_mono-culture_T_only_1	in vitro	20181111	OVA + LPS T only	Trbc+			20h	NA	NA	NA	NA	NA
AB6040	SB304	T_mono-culture_T_only	T_mono-culture_T_only_2	in vitro	20181111	OVA + LPS T only	Trbc+			20h	NA	NA	NA	NA	NA
AB6041	SB304	Transwell_DC_down	Transwell_DC_down_1	in vitro	20181111	OVA + LPS transwell	Cd11c+			20h	NA	NA	NA	NA	NA
AB6042	SB304	Transwell_DC_up	Transwell_DC_up	in vitro	20181111	OVA + LPS transwell	Cd11c+			20h	NA	NA	NA	NA	NA
AB6043	SB304	Transwell_T_down	Transwell_T_down_1	in vitro	20181111	OVA + LPS transwell	Trbc+			20h	NA	NA	NA	NA	NA
AB6044	SB304	Transwell_T_down	Transwell_T_down_2	in vitro	20181111	OVA + LPS transwell	Trbc+			20h	NA	NA	NA	NA	NA
AB6045	SB304	Transwell_DC_down	Transwell_DC_down_2	in vitro	20181111	OVA + LPS transwell	Cd11c+			20h	NA	NA	NA	NA	NA
AB6046	SB304	Transwell_T_up	Transwell_T_up	in vitro	20181111	OVA + LPS transwell	Trbc+			20h	NA	NA	NA	NA	NA
AB6192	SB309	CD4_Co-culture_3h_doublets	CD4_Co-culture_3h_doublets_1	in vitro	20181211	OVA + LPS	doublets			3h	NA	NA	NA	NA	NA
AB6193	SB309	CD4_Co-culture_3h_doublets	CD4_Co-culture_3h_doublets_2	in vitro	20181211	OVA + LPS	doublets			3h	NA	NA	NA	NA	NA
AB6194	SB309	CD4_Co-culture_3h_DC	CD4_Co-culture_3h_DC_1	in vitro	20181211	OVA + LPS	Cd11c+			3h	NA	NA	NA	NA	NA
AB6195	SB309	CD4_Co-culture_3h_DC	CD4_Co-culture_3h_DC_2	in vitro	20181211	OVA + LPS	Cd11c+			3h	NA	NA	NA	NA	NA
AB6196	SB309	CD4_Co-culture_3h_T	CD4_Co-culture_3h_T	in vitro	20181211	OVA + LPS	Trbc+			3h	NA	NA	NA	NA	NA
AB6197	SB309	mono-culture_3h_DC	mono-culture_3h_DC_1	in vitro	20181211	OVA + LPS DC only	Cd11c+			3h	NA	NA	NA	NA	NA
AB6198	SB309	mono-culture_3h_DC	mono-culture_3h_DC_2	in vitro	20181211	OVA + LPS DC only	Cd11c+			3h	NA	NA	NA	NA	NA
AB6199	SB309	mono-culture_3h_T	mono-culture_3h_T_1	in vitro	20181211	OVA + LPS T only	Trbc+			3h	NA	NA	NA	NA	NA
AB6200	SB309	mono-culture_3h_T	mono-culture_3h_T_2	in vitro	20181211	OVA + LPS T only	Trbc+			3h	NA	NA	NA	NA	NA
AB6201	SB309	CD4_Co-culture_20h_doublets	CD4_Co-culture_20h_doublets_1	in vitro	20181211	OVA + LPS	doublets			20h	NA	NA	NA	NA	NA
AB6202	SB309	CD4_Co-culture_20h_doublets	CD4_Co-culture_20h_doublets_2	in vitro	20181211	OVA + LPS	doublets			20h	NA	NA	NA	NA	NA
AB6203	SB309	CD4_Co-culture_20h_DC	CD4_Co-culture_20h_DC_1	in vitro	20181211	OVA + LPS	Cd11c+			20h	NA	NA	NA	NA	NA
AB6204	SB309	CD4_Co-culture_20h_DC	CD4_Co-culture_20h_DC_2	in vitro	20181211	OVA + LPS	Cd11c+			20h	NA	NA	NA	NA	NA
AB6205	SB309	CD4_Co-culture_20h_doublets	CD4_Co-culture_20h_doublets_3	in vitro	20181211	OVA + LPS	doublets			20h	NA	NA	NA	NA	NA
AB6206	SB309	CD4_Co-culture_20h_doublets	CD4_Co-culture_20h_doublets_4	in vitro	20181211	OVA + LPS	doublets			20h	NA	NA	NA	NA	NA
AB6207	SB309	CD4_Co-culture_20h_DC	CD4_Co-culture_20h_DC_3	in vitro	20181211	OVA + LPS	Cd11c+			20h	NA	NA	NA	NA	NA
