	x
69	#10AC83
70	#10AC83
71	#B0C399
72	#B0C399
73	#B0C399
74	#B0C399
75	#B0C399
76	#B0C399
77	#B0C399
78	#B0C399
79	#B0C399
80	#B0C399
81	#B0C399
82	#B0C399
83	#B0C399
84	#B0C399
85	#B0C399
86	#B0C399
87	#B0C399
88	#B0C399
89	#B0C399
90	#B0C399
91	#B0C399
92	#B0C399
93	#B0C399
94	#B0C399
95	#B0C399
96	#B0C399
97	#B0C399
98	#B0C399
99	#B0C399
100	#B0C399
101	#B0C399
102	#B0C399
103	#078036
104	#078036
105	#078036
106	#078036
107	#078036
108	#078036
109	#078036
110	#078036
111	#25431D
112	#078036
113	#078036
114	#078036
115	#078036
116	#078036
117	#078036
118	#54AF32
119	#10AC83
120	#25431D
121	#25431D
122	#25431D
123	#078036
124	#078036
125	#25431D
126	#25431D
127	#078036
128	#25431D
129	#25431D
130	#25431D
3	#ED6978
4	#ED6978
5	#ED6978
6	#ED6978
7	#ED6978
8	#ED6978
9	#ED6978
10	#ED6D1C
11	#ED6D1C
12	#ED6D1C
13	#ED6D1C
14	#E52520
15	#E52520
16	#B31B1D
17	#E52520
18	#B31B1D
19	#ED6978
20	#E52520
21	#B31B1D
22	#B31B1D
23	#B31B1D
24	#E52520
25	#B31B1D
26	#B31B1D
27	#B31B1D
28	#B31B1D
29	#B31B1D
30	#B31B1D
31	#B31B1D
32	#B31B1D
33	#ED6D1C
34	#B31B1D
35	#B31B1D
36	#E52520
37	#E52520
38	#E52520
39	#E52520
40	#E52520
41	#E52520
42	#E52520
43	#E52520
44	#E52520
45	#E52520
46	#E52520
47	#E52520
48	#E52520
49	#E52520
50	#E52520
51	#E52520
52	#E52520
53	#E52520
54	#E52520
55	#E52520
56	#E52520
57	#E52520
58	#E52520
59	#E52520
60	#E52520
61	#E52520
62	#E52520
63	#E52520
64	#E52520
65	#E52520
66	#E52520
67	#E52520
68	#E52520
