mc1	mc2
1	1
1	4
1	8
1	15
1	57
1	131
2	2
3	3
3	4
3	5
4	1
4	3
4	4
4	5
5	3
5	4
5	5
5	8
6	6
6	7
6	8
6	9
6	16
6	18
6	19
7	6
7	7
7	8
7	16
7	18
8	1
8	5
8	6
8	7
8	8
8	18
8	19
9	6
9	9
9	17
9	19
9	22
10	10
10	12
10	13
10	14
10	33
10	40
11	11
11	12
11	13
11	14
12	10
12	11
12	12
12	13
12	22
12	35
13	10
13	11
13	12
13	13
13	14
14	10
14	11
14	13
14	14
14	39
15	1
15	15
15	33
15	40
15	44
15	57
16	6
16	7
16	16
16	17
16	18
16	27
17	9
17	16
17	17
17	22
17	56
18	6
18	7
18	8
18	16
18	18
18	19
19	6
19	8
19	9
19	18
19	19
20	20
20	23
20	33
20	34
20	35
20	37
21	21
21	26
21	31
21	32
21	34
22	9
22	12
22	17
22	22
22	23
22	35
23	20
23	22
23	23
23	24
23	28
23	51
24	23
24	24
24	30
24	39
25	25
25	26
25	28
25	29
25	31
25	35
25	41
26	21
26	25
26	26
26	31
26	33
26	41
27	16
27	27
27	29
27	32
27	42
27	43
28	23
28	25
28	28
28	29
28	30
28	34
29	25
29	27
29	28
29	29
29	32
29	34
29	35
30	24
30	28
30	30
30	31
30	35
30	47
31	21
31	25
31	26
31	30
31	31
31	32
32	21
32	27
32	29
32	31
32	32
32	34
33	10
33	15
33	20
33	26
33	33
33	35
34	20
34	21
34	28
34	29
34	32
34	34
34	35
35	12
35	20
35	22
35	25
35	29
35	30
35	33
35	34
35	35
36	36
36	37
36	38
36	39
36	50
36	55
37	20
37	36
37	37
37	38
37	42
37	55
38	36
38	37
38	38
38	50
38	51
38	55
39	14
39	24
39	36
39	39
39	46
39	56
40	10
40	15
40	40
40	44
40	64
41	25
41	26
41	41
41	44
41	45
41	47
42	27
42	37
42	42
42	43
42	58
42	61
43	27
43	42
43	43
43	45
43	48
43	58
44	15
44	40
44	41
44	44
44	64
44	66
45	41
45	43
45	45
45	60
45	62
45	63
45	66
46	39
46	46
46	47
46	50
46	51
46	65
47	30
47	41
47	46
47	47
47	59
47	61
48	43
48	48
48	49
48	50
48	58
49	48
49	49
49	63
49	67
50	36
50	38
50	46
50	48
50	50
50	61
50	65
51	23
51	38
51	46
51	51
51	60
52	52
52	53
52	64
52	66
53	52
53	53
53	54
53	57
53	67
53	68
54	53
54	54
54	55
54	59
54	62
54	68
55	36
55	37
55	38
55	54
55	55
56	17
56	39
56	56
56	57
56	65
57	1
57	15
57	53
57	56
57	57
58	42
58	43
58	48
58	58
58	60
58	61
59	47
59	54
59	59
59	62
59	67
59	68
60	45
60	51
60	58
60	60
60	62
60	65
61	42
61	47
61	50
61	58
61	61
61	65
61	67
62	45
62	54
62	59
62	60
62	62
62	63
62	68
63	45
63	49
63	62
63	63
63	66
63	67
64	40
64	44
64	52
64	64
64	66
64	68
65	46
65	50
65	56
65	60
65	61
65	65
66	44
66	45
66	52
66	63
66	64
66	66
66	68
67	49
67	53
67	59
67	61
67	63
67	67
68	53
68	54
68	59
68	62
68	64
68	66
68	68
69	69
69	70
69	119
69	120
70	69
70	70
70	95
70	118
71	71
71	84
71	97
71	100
71	102
71	132
72	72
72	76
72	77
72	83
72	87
72	88
73	73
73	79
73	81
73	87
73	90
74	74
74	77
74	78
74	86
74	102
75	75
75	78
75	80
75	82
75	92
75	93
75	100
76	72
76	76
76	86
76	88
76	90
76	98
76	99
77	72
77	74
77	77
77	90
77	101
77	102
78	74
78	75
78	78
78	79
78	80
78	82
79	73
79	78
79	79
79	80
79	81
79	88
80	75
80	78
80	79
80	80
80	83
80	89
80	102
81	73
81	79
81	81
81	83
81	85
81	87
81	96
82	75
82	78
82	82
82	83
82	85
82	96
83	72
83	80
83	81
83	82
83	83
83	85
83	97
84	71
84	84
84	86
84	88
84	100
85	81
85	82
85	83
85	85
85	96
86	74
86	76
86	84
86	86
86	92
86	97
86	101
87	72
87	73
87	81
87	87
87	89
87	95
87	101
88	72
88	76
88	79
88	84
88	88
88	100
89	80
89	87
89	89
89	95
89	96
89	102
90	73
90	76
90	77
90	90
90	91
90	99
91	90
91	91
91	94
91	97
91	98
92	75
92	86
92	92
92	94
92	96
92	99
93	75
93	93
93	94
93	97
94	91
94	92
94	93
94	94
94	97
94	98
95	70
95	87
95	89
95	95
95	101
96	81
96	82
96	85
96	89
96	92
96	96
97	71
97	83
97	86
97	91
97	93
97	94
97	97
98	76
98	91
98	94
98	98
98	99
99	76
99	90
99	92
99	98
99	99
99	100
100	71
100	75
100	84
100	88
100	99
100	100
101	77
101	86
101	87
101	95
101	101
101	102
102	71
102	74
102	77
102	80
102	89
102	101
102	102
103	103
103	104
103	107
103	110
103	113
103	116
104	103
104	104
104	105
104	113
104	116
105	104
105	105
105	115
105	117
105	123
106	106
106	107
106	112
106	113
106	123
106	125
107	103
107	106
107	107
107	112
107	116
107	123
107	124
108	108
108	112
108	114
108	115
108	124
108	125
109	109
109	110
109	117
109	124
109	126
110	103
110	109
110	110
110	111
110	117
110	119
110	126
111	110
111	111
111	112
111	116
111	128
111	129
112	106
112	107
112	108
112	111
112	112
112	116
113	103
113	104
113	106
113	113
113	116
114	108
114	114
114	115
114	124
114	126
115	105
115	108
115	114
115	115
115	117
115	127
116	103
116	104
116	107
116	111
116	112
116	113
116	116
117	105
117	109
117	110
117	115
117	117
117	127
118	70
118	118
119	69
119	110
119	119
119	121
119	122
119	126
119	127
120	69
120	120
120	121
120	122
120	128
120	129
120	130
121	119
121	120
121	121
121	122
121	128
121	130
122	119
122	120
122	121
122	122
122	128
122	129
123	105
123	106
123	107
123	123
123	124
124	107
124	108
124	109
124	114
124	123
124	124
124	127
125	106
125	108
125	125
125	130
126	109
126	110
126	114
126	119
126	126
127	115
127	117
127	119
127	124
127	127
128	111
128	120
128	121
128	122
128	128
128	129
128	130
129	111
129	120
129	122
129	128
129	129
129	130
130	120
130	121
130	125
130	128
130	129
130	130
131	1
131	131
131	132
131	133
132	71
132	131
132	132
132	133
133	131
133	132
133	133
