	x	y
1	491	910
2	441	691
3	587	752
4	528	829
5	608	789
6	651	899
7	593	910
8	569	860
9	715	920
10	674	966
11	835	997
12	768	987
13	771	949
14	742	1029
15	528	969
16	626	983
17	661	990
18	623	883
19	668	850
20	683	1087
21	785	1052
22	736	1008
23	737	1130
24	738	1180
25	689	1111
26	658	1055
27	653	1119
28	773	1167
29	740	1094
30	698	1149
31	756	1101
32	785	1139
33	625	1008
34	795	1091
35	706	1045
36	649	1222
37	672	1194
38	652	1281
39	647	1105
40	548	997
41	578	1100
42	632	1226
43	589	1210
44	510	1045
45	517	1175
46	631	1189
47	591	1164
48	531	1299
49	437	1275
50	588	1261
51	684	1237
52	384	1102
53	432	1089
54	474	1165
55	575	1233
56	568	1051
57	481	1001
58	581	1295
59	493	1207
60	547	1240
61	542	1214
62	470	1232
63	422	1214
64	461	1067
65	552	1151
66	452	1120
67	439	1188
68	428	1149
69	215	363
70	201	445
71	282	770
72	159	638
73	89	585
74	235	693
75	143	756
76	124	729
77	233	640
78	105	688
79	127	635
80	185	666
81	77	615
82	46	722
83	118	707
84	272	728
85	26	674
86	194	695
87	159	568
88	200	715
89	201	601
90	120	688
91	111	806
92	81	742
93	141	844
94	92	835
95	214	527
96	73	650
97	187	784
98	47	799
99	132	790
100	219	788
101	246	598
102	277	665
103	149	121
104	117	47
105	41	94
106	224	48
107	158	71
108	168	133
109	59	214
110	148	215
111	232	168
112	242	93
113	179	27
114	111	190
115	68	160
116	205	80
117	36	186
118	112	433
119	170	290
120	293	305
121	256	260
122	233	280
123	99	68
124	103	146
125	266	135
126	110	268
127	89	242
128	274	224
129	300	240
130	320	212
131	420	864
132	356	809
133	359	868
