mc1	mc2
1	1
1	2
2	1
2	2
2	8
3	3
3	4
3	5
3	6
3	7
4	3
4	4
4	5
4	6
4	7
5	3
5	4
5	5
5	6
5	7
6	3
6	4
6	5
6	6
6	7
7	3
7	4
7	5
7	6
7	7
8	2
8	8
8	9
8	10
8	11
9	8
9	9
9	10
9	11
9	12
9	15
9	16
10	8
10	9
10	10
10	11
10	12
11	8
11	9
11	10
11	11
11	12
11	15
12	9
12	10
12	11
12	12
12	26
13	13
13	14
13	16
13	17
14	13
14	14
14	16
15	9
15	11
15	15
15	16
15	17
16	9
16	13
16	14
16	15
16	16
16	17
17	13
17	15
17	16
17	17
18	18
18	39
18	40
18	43
19	19
19	21
19	22
19	24
19	25
19	28
20	20
20	23
20	24
20	25
20	27
21	19
21	21
21	22
21	24
21	25
21	28
22	19
22	21
22	22
22	23
22	25
22	27
22	28
23	20
23	22
23	23
23	24
23	26
23	27
24	19
24	20
24	21
24	23
24	24
24	28
25	19
25	20
25	21
25	22
25	25
26	12
26	23
26	26
26	27
26	28
27	20
27	22
27	23
27	26
27	27
28	19
28	21
28	22
28	24
28	26
28	28
29	29
29	30
29	31
29	32
29	33
29	37
29	58
29	60
30	29
30	30
30	34
30	36
30	50
30	54
30	55
31	29
31	31
31	32
31	33
31	37
32	29
32	31
32	32
32	33
32	36
32	37
33	29
33	31
33	32
33	33
33	35
33	36
34	30
34	34
34	35
34	36
35	33
35	34
35	35
35	36
36	30
36	32
36	33
36	34
36	35
36	36
36	37
37	29
37	31
37	32
37	36
37	37
38	38
38	41
38	42
38	46
38	49
38	52
39	18
39	39
39	40
39	41
39	42
39	43
40	18
40	39
40	40
40	41
40	42
40	43
41	38
41	39
41	40
41	41
41	42
41	43
42	38
42	39
42	40
42	41
42	42
42	43
43	18
43	39
43	40
43	41
43	42
43	43
43	49
44	44
44	54
44	62
44	63
44	64
44	70
45	45
45	47
45	61
45	67
45	71
46	38
46	46
46	50
46	52
46	65
46	70
47	45
47	47
47	48
47	51
47	53
47	63
48	47
48	48
48	51
48	52
48	70
48	71
49	38
49	43
49	49
49	50
49	51
49	54
50	30
50	46
50	49
50	50
50	51
51	47
51	48
51	49
51	50
51	51
51	57
52	38
52	46
52	48
52	52
52	53
52	54
53	47
53	52
53	53
53	60
53	63
53	66
54	30
54	44
54	49
54	52
54	54
54	62
55	30
55	55
55	58
55	67
55	71
56	56
56	62
56	66
56	68
56	69
57	51
57	57
57	59
57	67
57	68
57	69
57	71
58	29
58	55
58	58
58	60
58	67
59	57
59	59
59	60
59	61
59	67
59	69
60	29
60	53
60	58
60	59
60	60
60	63
61	45
61	59
61	61
61	62
61	64
62	44
62	54
62	56
62	61
62	62
62	70
63	44
63	47
63	53
63	60
63	63
64	44
64	61
64	64
64	69
64	70
65	46
65	65
65	66
66	53
66	56
66	65
66	66
66	68
66	71
67	45
67	55
67	57
67	58
67	59
67	67
68	56
68	57
68	66
68	68
68	69
68	71
69	56
69	57
69	59
69	64
69	68
69	69
70	44
70	46
70	48
70	62
70	64
70	70
71	45
71	48
71	55
71	57
71	66
71	68
71	71
