	x	y
1	26	134
2	99	155
3	72	521
4	157	513
5	112	487
6	93	569
7	145	564
8	176	174
9	274	180
10	215	239
11	236	197
12	287	258
13	378	68
14	348	27
15	260	116
16	323	111
17	294	49
18	905	685
19	338	498
20	436	431
21	305	482
22	376	449
23	407	371
24	356	436
25	400	514
26	321	332
27	374	369
28	297	417
29	553	652
30	636	682
31	487	598
32	526	596
33	568	569
34	672	603
35	634	533
36	616	602
37	542	567
38	804	819
39	906	738
40	924	770
41	883	825
42	873	793
43	843	740
44	659	837
45	511	839
46	750	844
47	609	818
48	686	856
49	759	754
50	710	724
51	673	788
52	729	798
53	633	785
54	682	755
55	563	736
56	589	958
57	554	826
58	492	701
59	491	817
60	540	734
61	533	888
62	630	869
63	596	761
64	613	931
65	730	929
66	632	905
67	487	768
68	560	916
69	518	908
70	692	909
71	586	847
